"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","주차현황 정보 제공여부","주차현황 정보 제공여부명","주차 면(주차 가능 차량 수)","현재 주차중인 대수","현재 주차 차량 업데이트 시간","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","최종데이터 동기화 시간","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 시간(분 단위)","버스 추가 단위 요금","일 최대 요금","주차장 위치 좌표 위도","주차장 위치 좌표 경도","배정코드","배정코드명"
"1025696","당산근린공원지하공영(구)","영등포구 당산동3가 385-0","NW","노외 주차장","1","시간제 주차장","02-2633-0298","0","미연계중","190","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:33:47","N","무료","N","무료","100000","","150","5","150","5","0","0","0","0","0","37.52552609","126.89579413","PIS02","미배정미점유"
"1025697","대림운동장(구)","영등포구 대림동 780-0","NW","노외 주차장","1","시간제 주차장","02-831-3312","0","미연계중","192","0","","Y","유료","N","야간 미개방","0600","2200","0600","2200","0600","2200","2019-06-10 09:33:47","N","무료","N","무료","65000","","50","5","50","5","0","0","0","0","0","37.49965667","126.89483844","PIS02","미배정미점유"
"1037932","구로디지털단지역 환승주차장(시)","구로구 구로동 810-3","NW","노외 주차장","1","시간제 주차장","02-859-6318","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","93","92","2019-10-12 19:38:17","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:36:15","N","무료","N","무료","100000","","150","5","150","5","0","0","0","0","0","37.48543179","126.90124331","PIS02","미배정미점유"
"1040225","논현로22길(구)","강남구 개포동 1266-0","NW","노외 주차장","1","시간제 주차장","02-576-1492","0","미연계중","100","0","2019-10-04 11:25:04","Y","유료","N","야간 미개방","0900","1900","0000","0000","0000","0000","2019-09-10 21:06:26","Y","유료","Y","유료","120000","","200","5","0","0","0","0","0","0","18000","37.48150119","127.04781332","PIS02","미배정미점유"
"1041840","남산동 공영주차장(구)","중구 남산동2가 30-4","NW","노외 주차장","3","시간제 + 거주자 주차장","02-755-7004","0","미연계중","49","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:35:39","N","무료","N","무료","240000","","250","5","250","5","0","0","0","0","0","37.55923691","126.98562404","PIS02","미배정미점유"
"1042410","논현초교(구)","강남구 논현동 168-0","NW","노외 주차장","1","시간제 주차장","02-2176-0943","0","미연계중","192","0","2019-10-04 11:25:02","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-09-20 21:08:19","N","무료","N","무료","180000","","300","5","0","0","0","0","0","0","25000","37.50822463","127.02626245","PIS02","미배정미점유"
"1042423","개포로24길33(구)","강남구 개포동 1204-0","NW","노외 주차장","1","시간제 주차장","02-3443-2784","0","미연계중","36","0","2019-10-04 11:25:04","Y","유료","N","야간 미개방","0900","1900","0000","0000","0000","0000","2019-09-10 21:07:09","Y","유료","Y","유료","120000","","200","5","0","0","0","0","0","0","18000","37.47715365","127.04992891","PIS02","미배정미점유"
"1051043","구파발역 환승주차장(시)","은평구 진관동 66-30","NW","노외 주차장","1","시간제 주차장","02)353-6413","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","401","135","2019-10-12 19:37:42","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:38:31","N","무료","N","무료","65000","","100","5","100","5","0","0","0","0","0","37.63800702","126.91932176","PIS02","미배정미점유"
"1079102","국민대앞(구)","성북구 정릉동 865-7","NW","노외 주차장","1","시간제 주차장","","0","미연계중","44","0","","Y","유료","N","야간 미개방","0000","0000","0000","0000","0000","0000","2019-06-10 09:33:28","Y","유료","Y","유료","100000","","150","5","300","10","0","0","0","0","10000","37.60969589","126.99574629","PIS02","미배정미점유"
"1079122","길음역환승주차장(구)","성북구 하월곡동 104-112","NW","노외 주차장","1","시간제 주차장","02-6923-0023","0","미연계중","147","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:28","N","무료","N","무료","120000","","150","5","150","5","0","0","0","0","10000","37.60423761","127.02581826","PIS02","미배정미점유"
