사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-05,1호선,0150,서울역,813,16,"8,478","5,920","10,736","37,191","29,922","80,358","53,921","170,533","39,251","114,126","38,103","55,958","46,762","47,869","55,232","49,303","57,055","51,283","48,828","49,860","64,421","50,831","71,948","51,102","115,171","60,380","176,221","63,184","86,920","45,583","61,811","31,079","59,285","25,122","41,290","18,647","15,258","10,959",11,"1,427",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,1호선,0151,시청,30,1,"1,557","3,131","2,914","15,686","5,627","57,041","6,957","138,115","7,841","67,596","8,553","27,971","12,095","26,249","13,668","22,574","17,272","22,013","22,049","18,517","28,018","16,094","32,000","13,771","59,053","14,576","115,293","15,487","46,640","7,610","34,966","4,267","34,047","3,807","22,202","2,630","7,325","1,755",5,143,0,1,0,1,0,0,2020-06-03 11:49:09
2020-05,1호선,0152,종각,75,4,"3,014","4,160","3,319","23,724","5,074","92,171","7,924","209,115","9,987","120,714","13,458","53,331","20,798","45,394","25,190","40,733","34,636","42,700","40,115","36,281","50,544","31,772","57,906","30,872","112,976","35,132","182,870","43,612","83,167","24,381","69,067","10,039","78,851","6,528","60,248","4,144","22,662","2,735",58,161,0,0,0,1,0,0,2020-06-03 11:49:09
2020-05,1호선,0153,종로3가,201,22,"4,118","2,484","3,435","12,520","4,612","24,320","7,174","66,473","10,489","73,357","20,519","59,967","31,260","58,879","37,145","58,437","47,571","58,249","50,770","52,199","56,840","44,373","60,378","36,765","67,784","33,252","94,613","35,091","59,187","19,383","44,218","8,733","48,552","5,817","38,442","4,165","13,893","3,525",53,698,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,1호선,0154,종로5가,29,1,"1,708","3,562","2,587","15,233","4,517","37,360","7,440","96,741","10,656","60,684","17,492","49,432","25,615","48,395","32,360","47,275","39,556","43,658","46,587","42,267","51,601","37,485","54,887","30,589","67,504","25,688","94,202","22,480","48,877","13,120","30,896","6,099","25,869","4,646","18,521","3,186","5,727","2,131",15,290,0,1,0,0,0,0,2020-06-03 11:49:09
2020-05,1호선,0155,동대문,620,13,"13,095","2,198","9,135","7,173","11,941","12,507","17,471","25,104","16,819","23,527","16,366","22,714","17,629","25,220","21,258","25,909","22,664","24,403","23,524","23,966","24,632","22,634","25,447","19,352","25,133","19,093","24,186","18,922","16,973","20,328","13,729","14,643","13,253","10,925","10,893","10,333","4,659","10,298",25,"1,012",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,1호선,0156,신설동,329,8,"8,845","2,319","8,238","7,808","15,648","21,995","21,432","60,926","16,024","35,914","13,916","20,417","16,741","18,065","18,198","18,266","20,318","19,213","21,068","18,000","22,759","18,266","28,216","18,646","35,321","21,133","55,588","25,131","22,750","17,589","14,779","11,410","12,833","10,674","9,393","9,619","3,648","6,938",27,663,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,1호선,0157,제기동,380,0,"4,512","2,004","7,642","8,832","18,514","17,262","26,796","38,379","20,906","36,631","23,574","35,818","31,391","40,557","36,600","38,148","37,399","39,596","40,449","42,653","43,962","37,148","39,529","29,100","37,289","23,727","36,082","24,917","18,764","17,104","11,365","10,642","8,837","9,584","7,292","8,410","2,672","5,062",12,523,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,1호선,0158,청량리(서울시립대입구),"1,255",13,"10,439","4,125","13,779","12,831","35,493","15,331","43,815","32,246","30,780","31,191","29,326","34,526","35,382","39,902","36,673","39,149","39,290","40,945","41,615","44,584","44,553","42,738","45,788","39,328","43,942","39,758","40,624","47,825","25,836","33,336","19,689","20,123","13,435","17,918","9,475","16,068","3,596","10,376",47,"1,238",0,1,1,0,0,0,2020-06-03 11:49:09
2020-05,1호선,0159,동묘앞,98,1,"3,036",815,"2,972","3,940","5,166","9,301","7,066","20,578","6,813","15,266","8,460","18,732","13,254","25,565","17,921","29,556","23,818","30,801","29,963","31,734","31,846","26,544","32,093","19,567","29,431","13,963","25,393","10,350","12,716","6,369","6,336","4,049","5,223","3,944","3,585","4,005","1,396","3,198",15,"1,578",1,2,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0201,시청,44,1,"1,040","1,302","1,705","12,645","4,154","61,612","5,978","177,680","7,006","82,885","9,803","22,214","14,838","19,128","14,900","17,809","19,051","19,492","23,013","16,802","26,490","15,464","29,987","13,259","67,938","14,260","147,276","14,994","52,656","7,304","33,022","3,824","30,135","3,216","19,683","2,818","6,414","2,423",18,115,1,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0202,을지로입구,118,1,"2,173","1,852","2,744","20,414","6,825","103,779","10,761","252,416","11,656","131,870","14,177","56,071","20,445","48,149","24,489","40,680","34,737","39,940","40,514","35,051","50,277","31,970","58,649","29,310","124,705","32,411","212,601","35,334","92,835","19,077","85,894","10,813","57,398","9,066","37,696","7,622","10,873","5,285",8,"3,457",0,0,0,1,0,0,2020-06-03 11:49:09
2020-05,2호선,0203,을지로3가,6,0,797,"1,401","1,829","17,605","4,264","58,198","7,491","128,467","7,523","61,308","9,067","26,567","12,149","20,918","13,389","18,482","17,027","21,423","20,679","18,959","24,847","16,833","30,406","16,830","62,724","19,139","110,698","23,749","48,526","13,561","31,975","7,099","33,026","4,669","28,834","3,572","12,951","2,476",10,330,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0204,을지로4가,7,3,873,951,"1,236","10,515","2,336","29,326","4,133","68,258","5,506","36,628","7,846","22,396","10,936","20,026","13,830","18,472","16,227","17,642","18,736","17,361","21,758","14,896","24,182","12,381","43,863","11,001","63,995","9,727","29,889","5,673","15,145","2,681","11,770","2,238","8,723","1,801","3,209","1,322",4,150,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0205,동대문역사문화공원(DDP),326,4,"7,922",789,"4,211","6,977","5,722","18,963","8,510","44,699","7,970","28,848","8,475","22,190","10,937","24,159","13,368","20,488","15,018","21,676","19,079","21,242","22,285","18,742","27,754","16,808","36,055","17,635","40,358","20,327","25,188","23,512","19,398","14,765","20,617","10,286","13,499","7,960","6,000","7,320",2,648,0,1,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0206,신당,23,2,"5,981","1,147","10,553","6,848","23,301","15,403","37,829","33,218","23,418","21,290","16,663","16,672","15,921","17,327","18,065","17,457","19,855","18,318","19,699","19,356","20,304","20,494","22,688","22,156","25,752","27,839","32,284","38,504","21,186","28,314","15,114","17,992","12,760","16,235","10,419","14,868","4,470","10,410",1,198,0,0,1,1,0,0,2020-06-03 11:49:09
2020-05,2호선,0207,상왕십리,52,1,"5,314",633,"11,581","5,005","32,764","10,644","51,252","30,939","28,513","17,801","18,028","11,701","16,589","10,300","17,021","11,681","17,466","13,714","15,767","13,754","16,807","15,331","17,170","18,315","20,797","26,328","25,132","42,932","16,554","31,195","11,335","20,061","10,030","18,437","7,190","16,928","2,517","11,807",0,46,0,2,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0208,왕십리(성동구청),690,2,"7,114",827,"9,145","5,357","22,888","9,890","39,581","25,131","24,247","16,441","16,152","11,985","16,516","13,177","18,808","15,007","20,532","17,013","20,528","16,989","21,450","18,426","25,750","21,683","30,316","30,442","34,456","49,678","23,135","34,458","21,265","19,769","23,746","16,918","25,381","15,773","14,530","12,134",85,489,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0209,한양대,5,1,"1,260",241,"2,190","5,255","4,562","9,984","7,274","29,737","5,426","23,317","4,644","15,761","6,024","10,772","7,074","12,351","7,617","13,186","8,407","11,175","10,045","8,857","15,181","8,086","23,771","8,543","23,199","10,397","11,703","6,664","9,926","4,787","10,320","4,324","9,677","4,101","4,665","3,081",1,14,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0210,뚝섬,19,0,"3,604","1,840","7,620","14,452","17,229","26,515","25,569","105,943","16,106","61,831","12,095","26,331","12,409","21,805","14,957","23,758","18,307","26,814","20,664","25,339","24,388","24,750","31,852","25,758","46,533","28,800","96,624","37,925","51,452","25,191","30,951","13,728","27,563","11,635","20,282","10,372","6,713","7,472",1,130,1,0,0,0,0,0,2020-06-03 11:49:09
